#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1
      51       1.6609       1.5577,      51       1.3811       3.1772,      51       1.5699       2.3861,      51       1.4437       3.3569,      51       1.7130       2.0529,      51       1.6969       2.6596,      51       1.3849       2.6769,      51       1.7308       1.6155,      51       1.4149       4.0571,      51       2.0252       2.0158
      52       1.5123       1.9633,      52       1.5902       2.7524,      52       1.3083       2.9454,      52       1.3267       2.6990,      52       1.6642       2.0616,      52       1.8491       2.9315,      52       1.4221       2.0128,      52       1.4275       2.0211,      52       1.2723       4.5894,      52       1.8229       1.4190
      53       1.5456       1.6563,      53       1.2335       3.3931,      53       1.3302       2.0894,      53       1.2788       2.2420,      53       1.6339       1.8937,      53       1.6340       2.2381,      53       1.4185       2.7941,      53       1.3113       1.6086,      53       1.4316       3.7202,      53       1.6351       2.0405
      54       1.4574       1.9173,      54       1.4169       3.6214,      54       1.5404       3.1912,      54       1.5050       1.9187,      54       1.4928       1.8544,      54       1.8885       1.8088,      54       1.4629       2.1957,      54       1.3979       1.3028,      54       1.4088       4.0006,      54       1.6812       2.2977
      55       1.6469       1.9802,      55       1.5131       4.8367,      55       1.4240       1.4910,      55       1.3910       2.3529,      55       1.5721       2.2444,      55       1.6528       1.4963,      55       1.3009       2.8390,      55       1.4967       1.1032,      55       1.5315       4.6531,      55       1.9771       2.4054
      56       1.6640       1.8424,      56       1.4284       4.6925,      56       1.4782       2.8612,      56       1.3822       1.9461,      56       1.4321       2.6865,      56       2.0645       1.2221,      56       1.4716       2.9275,      56       1.3998       1.1301,      56       1.3403       4.0186,      56       1.7746       1.6503
      57       1.6542       1.8472,      57       1.1434       2.9874,      57       1.2747       3.2611,      57       1.7412       2.1837,      57       1.6088       2.1971,      57       1.7668       2.0631,      57       1.4952       3.1405,      57       1.2979       1.6967,      57       1.6186       3.5762,      57       1.8846       2.4011
      58       1.6761       1.8628,      58       1.3090       2.7089,      58       1.3416       2.2869,      58       1.3152       1.8790,      58       1.6489       1.7690,      58       1.9129       1.7729,      58       1.3442       3.4299,      58       1.5394       1.3536,      58       1.7770       2.7193,      58       1.9528       2.3860
      59       1.6162       2.1669,      59       1.3074       4.2836,      59       1.5003       3.5810,      59       1.4980       2.2727,      59       1.8144       1.5198,      59       2.2883       1.2934,      59       1.4326       2.9713,      59       1.4604       1.3194,      59       1.7540       2.6738,      59       1.9311       2.8834
      60       1.8287       2.2471,      60       1.3426       4.7439,      60       1.4175       2.7084,      60       1.2770       2.0886,      60       1.7915       2.1213,      60       2.2285       1.5027,      60       1.6811       2.4670,      60       1.6128       1.5951,      60       1.7806       2.9752,      60       2.0255       3.1324
      61       1.4389       1.6239,      61       1.3305       5.1889,      61       1.8107       3.9068,      61       1.2159       1.7723,      61       1.6967       2.0466,      61       1.9125       1.6320,      61       1.5022       2.5480,      61       1.7468       2.0082,      61       1.7858       4.7031,      61       2.1312       2.6595
      62       1.7785       1.2687,      62       1.2972       3.7426,      62       1.5176       3.5917,      62       1.4298       2.1342,      62       1.9321       1.4478,      62       1.9133       1.8285,      62       1.5536       2.5485,      62       1.5955       1.8531,      62       1.6870       4.1875,      62       2.4054       2.4055
      63       1.8555       1.2584,      63       1.3702       3.8061,      63       1.4638       2.8462,      63       1.2390       1.7880,      63       1.5304       2.0100,      63       1.6247       2.0209,      63       1.6534       2.1747,      63       1.6730       1.7352,      63       1.7938       3.5355,      63       1.9486       3.6370
      64       1.7192       1.9340,      64       1.2406       3.0061,      64       1.6102       2.5380,      64       1.3808       1.5158,      64       2.0283       1.9429,      64       1.7648       2.0676,      64       1.4684       2.8690,      64       1.7665       2.0924,      64       1.6294       3.8085,      64       1.7704       3.5217
      65       1.8648       1.3354,      65       1.4719       3.5360,      65       1.7802       2.1028,      65       1.3462       1.7909,      65       1.8454       1.6552,      65       1.8668       1.6268,      65       1.5116       3.2646,      65       1.5594       2.0935,      65       1.7939       3.0951,      65       1.9289       3.1364
      66       1.7427       1.7152,      66       1.2920       4.2632,      66       1.5487       4.2665,      66       1.4982       2.2846,      66       1.8885       2.6262,      66       1.7970       1.9705,      66       1.2183       3.8069,      66       1.7795       1.7355,      66       1.7969       3.0815,      66       2.1108       2.6232
      67       1.6259       1.4315,      67       1.4837       5.6222,      67       1.7372       4.2668,      67       1.3803       1.6701,      67       1.6225       3.4461,      67       1.9490       1.5382,      67       1.3982       3.6092,      67       1.4010       2.2848,      67       1.8114       2.5818,      67       2.1299       3.4820
      68       1.5510       1.7990,      68       1.3990       5.6306,      68       1.7504       4.1418,      68       1.3145       2.3644,      68       1.4029       3.0090,      68       1.7057       1.4867,      68       1.4496       4.1687,      68       1.8168       2.1223,      68       1.6792       2.9063,      68       1.8723       2.7384
