#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
      36       2.1635       1.6031       0.7331       0.6853       0.6953,      36       1.4618       2.5380       0.8085       0.3824       0.6304,      36       1.5091       1.3906       0.9034       0.3591       0.7789,      36       3.7387       1.1155       1.5419       0.6599       0.9688,      36       1.8042       1.6746       0.5745       0.5506       0.6316,      36       2.0089       2.2358       1.3743       0.5149       0.2802,      36       1.4969       1.0672       0.8939       0.4844       0.4697,      36       2.0756       1.4020       0.6938       0.8424       0.7033,      36       1.9279       1.5157       1.2019       0.4533       1.1337,      36       1.9910       2.0334       1.7869       0.7292       0.7213
      37       1.8650       1.9521       0.4524       0.5977       0.4636,      37       2.5704       2.4346       0.8893       0.4993       0.6281,      37       1.3000       1.3231       1.0964       0.3911       0.8816,      37       4.6325       1.3927       1.2528       0.7308       1.0229,      37       1.4672       1.4998       0.8385       0.7033       0.6034,      37       2.6026       2.2436       0.8951       0.7362       1.0914,      37       1.7565       1.1072       0.4964       0.5857       0.6470,      37       2.2439       1.2827       0.7253       0.6407       0.5094,      37       1.6434       1.6089       0.8811       0.3871       0.7899,      37       1.2577       1.6465       0.8880       0.6862       0.8325
      38       1.5601       1.7690       1.0003       0.4601       0.9345,      38       2.4059       2.8339       0.8207       0.2787       0.4202,      38       1.1882       1.2578       1.3626       0.6721       1.4206,      38       3.9376       1.1279       1.2632       0.7215       0.9013,      38       2.3082       1.7358       1.8579       0.4754       0.9472,      38       1.6346       2.2943       1.3135       0.6651       0.1538,      38       1.3296       1.1042       0.7756       0.7319       0.9837,      38       1.7481       1.2075       0.4641       0.6485       0.6703,      38       2.2410       1.6104       1.0866       0.6946       0.2711,      38       3.0945       1.8263       1.1524       1.0743       1.2266
      39       1.4020       1.8458       0.8039       0.6175       1.0505,      39       2.2078       2.5424       1.1605       0.4505       0.8120,      39       1.8315       1.6369       1.1565       0.4849       1.3288,      39       4.2319       1.1785       1.4594       0.9878       1.2228,      39       2.1689       1.3587       1.2275       0.7836       0.7175,      39       2.0153       2.2646       1.0567       0.6111       0.4665,      39       1.7433       1.0774       0.5056       0.4318       0.2726,      39       1.4839       1.1999       1.1854       0.8479       1.0779,      39       1.9893       2.1479       1.3799       0.5669       0.3605,      39       1.9482       1.5904       1.9098       0.8323       0.9521
      40       1.3825       1.6943       0.8826       0.2789       0.8271,      40       2.0024       2.7196       1.1702       0.6753       0.8151,      40       1.2827       1.4552       0.5543       0.5980       0.5817,      40       4.7716       1.2929       0.8438       0.5426       0.5384,      40       1.8656       1.4421       0.3673       0.3706       0.1775,      40       1.8330       2.1761       0.4084       0.3954       0.4272,      40       1.9207       1.3368       0.7742       0.8125       0.6409,      40       1.8565       1.5069       0.9668       0.8902       0.6166,      40       1.5355       1.9721       2.5446       0.3671       1.0487,      40       2.4719       1.6529       0.9031       0.6487       0.5568
      41       1.1657       1.4228       0.7576       0.8085       0.4815,      41       1.4275       2.2631       1.0903       0.8050       0.6207,      41       1.2833       1.5699       0.8942       0.5358       0.4926,      41       5.1372       1.1504       0.8768       0.7347       0.9517,      41       1.2648       1.2861       1.1333       0.2270       0.5419,      41       1.5131       2.7019       0.6312       0.5498       0.5653,      41       1.7617       1.1488       0.5308       0.4711       0.4753,      41       1.4628       1.2098       0.5508       0.7040       0.5777,      41       1.4133       1.7972       1.7074       0.5516       0.7020,      41       2.3203       1.2893       1.0121       0.5487       0.5433
      42       1.8030       1.5366       0.4206       0.8499       0.5890,      42       1.3705       3.0715       1.2635       0.7527       0.9069,      42       1.1966       1.4921       0.8863       0.4612       1.0309,      42       4.7475       1.2129       0.8455       0.4253       0.4691,      42       2.0950       1.5789       0.5970       0.7851       0.5743,      42       1.6159       2.3404       0.6992       0.6873       0.6610,      42       1.6971       1.3822       0.4639       0.4523       0.2179,      42       1.3011       1.2420       0.6930       0.7427       0.7710,      42       1.3459       2.0410       1.6677       0.5902       0.9745,      42       1.8298       1.5066       0.7169       0.7647       0.7137
      43       1.8634       1.6153       1.2166       0.4765       0.6103,      43       2.2052       3.0554       1.1412       0.7510       1.3498,      43       1.5578       1.4297       1.1658       0.3911       0.9497,      43       3.9487       1.5700       1.6374       0.6329       1.0108,      43       2.5725       1.5664       0.7630       0.3373       0.2792,      43       1.7027       2.1860       1.1597       0.6467       0.3425,      43       1.2650       1.3333       0.8841       0.7598       0.6953,      43       1.1730       1.1606       0.6740       0.6779       0.5915,      43       0.9335       1.9694       2.0807       0.3485       0.4411,      43       1.7532       1.6931       0.9454       0.6646       0.6746
      44       2.3378       1.8696       0.6567       0.7377       0.8387,      44       1.8883       2.3663       1.0219       0.3725       0.8662,      44       1.1881       1.4259       1.2338       0.5687       1.1909,      44       4.6414       1.5977       0.9175       0.3554       0.7731,      44       1.6696       1.0407       0.7538       0.1745       0.5123,      44       2.1000       2.1502       1.2406       0.7165       0.9531,      44       1.5262       1.3745       0.9147       0.9534       0.7718,      44       1.8506       1.1359       0.6081       0.8746       0.6175,      44       1.5435       1.9033       2.3523       0.6116       1.1864,      44       1.9322       1.8078       0.6079       0.6086       0.6428
      45       3.2633       2.0198       0.7972       0.5968       1.4186,      45       1.9285       2.4301       1.2584       0.4961       0.8798,      45       1.2126       1.7297       1.1254       0.5666       1.3963,      45       3.8061       1.4261       2.0368       0.4286       1.0347,      45       1.1573       1.8724       0.6904       0.6252       0.7199,      45       1.5037       2.2201       0.8807       0.8249       0.9924,      45       1.8647       1.2883       1.2165       0.6671       0.7036,      45       1.7467       1.1384       0.7651       0.3971       0.5933,      45       0.8947       1.8635       0.5307       0.5267       0.5368,      45       2.3238       1.2468       0.6325       0.6694       0.6285
