#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
      31       1.5272       0.9128       2.1529       0.7604       2.3074,      31       1.4471       1.5010       1.7394       1.5488       1.8084,      31       1.3588       1.0180       0.9156       0.5975       1.1716,      31       1.4942       1.2462       0.7880       0.3168       0.9676,      31       1.6437       1.2580       1.2912       0.4514       0.7927,      31       3.2414       1.2318       3.1349       1.3292       2.1530,      31       2.8934       1.2524       2.1652       0.4801       0.5891,      31       2.5471       1.1477       1.1535       0.4361       1.1697,      31       2.5073       1.1296       2.2045       0.5488       1.5314,      31       1.9758       1.2274       1.5170       0.5966       1.6453
      32       1.2892       0.9132       1.8067       0.7105       2.0024,      32       2.0116       1.3386       1.4277       1.1002       1.3413,      32       1.3163       1.2979       1.1829       0.9336       1.3007,      32       1.4129       1.3783       0.9543       0.4867       1.2589,      32       1.8721       1.2021       1.4518       0.5740       0.7803,      32       3.5538       1.3594       3.6628       1.2734       2.5862,      32       1.5500       1.5045       1.9428       0.5190       0.4218,      32       2.6699       1.1805       1.3225       0.3490       1.3090,      32       1.9228       1.3241       2.2525       0.3204       0.5762,      32       1.9630       1.3206       1.2458       0.8775       1.5691
      33       1.4487       0.9712       2.1845       0.6659       2.3800,      33       2.1762       1.5275       1.2271       0.6825       1.4946,      33       1.5308       0.9097       0.6463       0.5237       0.5007,      33       1.6024       1.1933       0.7356       0.4306       0.5752,      33       1.9206       1.1876       1.9127       0.9757       1.0825,      33       3.2455       1.3583       3.5846       1.3377       2.5742,      33       1.9431       1.2473       2.0770       0.3346       0.3998,      33       2.1194       1.2798       1.4448       0.4226       1.4799,      33       1.4567       1.3089       2.9850       0.6045       1.2180,      33       1.9801       1.0503       1.1630       0.2911       0.9740
      34       2.6928       0.9242       2.1055       0.5407       2.4709,      34       1.8806       1.2409       1.4109       1.1053       1.4561,      34       1.4726       1.4429       1.0791       0.6688       0.6674,      34       2.2095       1.5155       1.6276       0.5132       0.4892,      34       2.3499       1.2073       2.0972       0.8943       1.4967,      34       2.3524       1.3429       3.6446       0.9376       2.2936,      34       2.5564       1.3502       1.7225       0.4956       0.9461,      34       2.1620       1.4015       1.7284       0.3556       1.6550,      34       2.2683       1.1545       2.5126       0.4369       1.1403,      34       2.2966       1.2737       1.9147       0.8323       1.6542
      35       3.0280       1.1453       2.6035       0.8465       2.5659,      35       2.0036       1.4039       2.0699       0.9170       1.3163,      35       1.1615       1.3538       0.7448       0.5389       0.5263,      35       2.3318       1.3601       1.4209       0.3985       0.5931,      35       2.4149       1.3398       1.8579       0.6844       1.6278,      35       2.1665       1.3200       3.4000       0.8909       2.2987,      35       1.9225       1.2324       1.6566       0.2592       0.6894,      35       1.4609       1.1980       1.0079       0.6340       0.7622,      35       1.8895       1.1108       3.0512       0.5326       1.8286,      35       2.3990       1.1644       1.2849       0.8335       1.3189
      36       3.4564       0.9283       1.9800       0.8141       2.5156,      36       1.3760       1.5320       1.7553       0.8701       1.1523,      36       1.5485       1.3592       0.8349       0.7285       0.6243,      36       1.4826       1.1666       1.2863       0.8573       0.4340,      36       2.3026       1.5221       1.9383       0.8425       1.3661,      36       3.0627       1.2618       4.0710       1.2093       2.7967,      36       1.7594       1.3841       2.9055       0.5791       0.7677,      36       1.0100       1.1563       0.8871       0.5334       0.7357,      36       1.7926       1.1763       2.5090       0.6434       1.6671,      36       2.5278       1.1331       1.2898       0.6392       0.5393
      37       2.5785       1.2934       1.9933       0.7504       2.2631,      37       1.5191       1.6361       1.6484       0.7833       1.4451,      37       1.6469       1.2701       1.1483       0.4521       0.6956,      37       1.3228       1.2798       1.2736       0.7752       0.7152,      37       2.3159       1.2876       2.2696       0.6667       1.2080,      37       2.4618       1.2433       3.5254       1.0425       2.6025,      37       2.3220       1.3633       2.8467       0.4379       0.5403,      37       1.1450       1.3307       0.7939       0.4521       0.5566,      37       2.0358       1.1313       2.0150       0.6112       1.5250,      37       2.2378       1.3186       0.9756       0.5392       0.4584
      38       1.9437       1.1333       2.7386       0.8636       2.3158,      38       1.2515       1.8964       1.7447       0.6675       0.6519,      38       1.4106       1.5414       1.2185       0.5628       0.7203,      38       1.3422       1.3930       1.1925       0.6720       0.4367,      38       2.7528       1.2327       2.0324       1.0978       1.4576,      38       2.9152       1.3938       4.1860       0.9674       2.2492,      38       2.2102       1.2356       2.4746       0.3401       0.7429,      38       1.4333       1.2247       0.5540       0.7443       0.8294,      38       1.3463       1.0186       1.6720       0.2905       1.3643,      38       2.2376       1.1232       1.0639       0.3570       0.5875
      39       2.5879       1.0409       2.7187       0.5045       2.3656,      39       2.3653       1.3791       1.0786       0.6449       1.0658,      39       1.3090       1.7663       1.5068       0.7072       0.8491,      39       1.5031       1.2151       1.6862       0.4232       0.6662,      39       1.8932       1.4150       1.9184       0.7347       1.5310,      39       2.9809       1.3332       3.4279       0.9706       2.2163,      39       1.1615       1.1877       1.8613       0.4407       0.2555,      39       1.2331       1.2609       0.8648       0.3234       0.9171,      39       1.2370       1.1171       1.9639       0.4704       1.6134,      39       2.5379       1.2897       1.0611       0.7524       1.0013
      40       2.3340       0.9839       2.7406       0.6129       2.1662,      40       1.7673       1.4303       1.8492       0.9510       1.4464,      40       1.3029       1.5465       1.2821       0.5756       0.4017,      40       1.4834       1.1260       1.0033       0.4484       0.4917,      40       2.2104       1.6250       2.3948       0.8926       1.5235,      40       2.3533       1.3739       3.3752       1.2411       2.2042,      40       1.6681       1.2384       1.8868       0.6014       1.8989,      40       1.2443       1.3661       1.2705       0.7706       1.2194,      40       1.9538       1.2303       1.7470       0.7101       0.4455,      40       2.5296       1.2356       0.9586       0.5150       1.0950
